data,hora_inicio,hora_fim,servico_amostra,sentido_amostra,id_veiculo_amostra,flag_reprocessamento,protocolo,datetime_partida_amostra,datetime_chegada_amostra,status,data_apurado,id_veiculo_apurado,servico_apurado,sentido_apurado,datetime_partida_apurado,datetime_chegada_apurado
2022-10-10,17:02:00,17:54:00,486,,31127,1,SMTR202211005749,2022-10-10 17:02:00,2022-10-10 17:54:00,,,,,,,
2022-10-10,04:29:00,04:58:00,486,,31124,1,SMTR202211005748,2022-10-10 04:29:00,2022-10-10 04:58:00,,,,,,,
2022-10-10,04:00:00,04:22:00,486,,31100,1,SMTR202211005747,2022-10-10 04:00:00,2022-10-10 04:22:00,,,,,,,
2022-10-10,03:00:00,03:27:00,486,,31095,1,SMTR202211005745,2022-10-10 03:00:00,2022-10-10 03:27:00,,,,,,,
2022-10-10,04:23:00,04:53:00,486,,31091,1,SMTR202211005744,2022-10-10 04:23:00,2022-10-10 04:53:00,,,,,,,
2022-10-10,04:08:00,04:48:00,486,,31089,1,SMTR202211005743,2022-10-10 04:08:00,2022-10-10 04:48:00,,,,,,,
2022-10-10,03:28:00,04:09:00,486,,31068,1,SMTR202211005741,2022-10-10 03:28:00,2022-10-10 04:09:00,,,,,,,
2022-10-10,14:01:00,15:18:00,486,,31061,1,SMTR202211005740,2022-10-10 14:01:00,2022-10-10 15:18:00,,,,,,,
2022-10-10,05:31:00,06:35:00,486,,31061,1,SMTR202211005739,2022-10-10 05:31:00,2022-10-10 06:35:00,,,,,,,
2022-10-10,05:00:00,06:02:00,486,,31051,1,SMTR202211005738,2022-10-10 05:00:00,2022-10-10 06:02:00,,,,,,,
2022-10-10,07:00:00,08:38:00,486,,31029,1,SMTR202211005737,2022-10-10 07:00:00,2022-10-10 08:38:00,,,,,,,
2022-10-10,05:55:00,07:20:00,486,,31028,1,SMTR202211005736,2022-10-10 05:55:00,2022-10-10 07:20:00,,,,,,,
2022-10-10,05:51:00,07:12:00,486,,31014,1,SMTR202211005735,2022-10-10 05:51:00,2022-10-10 07:12:00,,,,,,,
2022-10-10,05:00:00,06:00:00,485,,31144,1,SMTR202211005733,2022-10-10 05:00:00,2022-10-10 06:00:00,,,,,,,
2022-10-10,04:48:00,05:53:00,485,,31139,1,SMTR202211005732,2022-10-10 04:48:00,2022-10-10 05:53:00,,,,,,,
2022-10-10,04:42:00,05:50:00,485,,31130,1,SMTR202211005731,2022-10-10 04:42:00,2022-10-10 05:50:00,,,,,,,
2022-10-10,03:09:00,03:56:00,485,,31091,1,SMTR202211005729,2022-10-10 03:09:00,2022-10-10 03:56:00,,,,,,,
2022-10-10,21:37:00,22:49:00,485,,31089,1,SMTR202211005727,2022-10-10 21:37:00,2022-10-10 22:49:00,,,,,,,
2022-10-10,14:46:00,16:59:00,485,,31088,1,SMTR202211005726,2022-10-10 14:46:00,2022-10-10 16:59:00,,,,,,,
2022-10-10,11:59:00,14:00:00,485,,31084,1,SMTR202211005725,2022-10-10 11:59:00,2022-10-10 14:00:00,,,,,,,
2022-10-10,00:01:00,01:03:00,485,,31061,1,SMTR202211005723,2022-10-10 00:01:00,2022-10-10 01:03:00,,,,,,,
2022-10-10,20:50:00,21:17:00,485,,31003,1,SMTR202211005720,2022-10-10 20:50:00,2022-10-10 21:17:00,,,,,,,
2022-10-10,06:16:00,06:47:00,485,,31002,1,SMTR202211005719,2022-10-10 06:16:00,2022-10-10 06:47:00,,,,,,,
2022-10-10,05:26:00,05:50:00,484,,31084,1,SMTR202211005717,2022-10-10 05:26:00,2022-10-10 05:50:00,,,,,,,
